"","COYNAME","REGNO","ACCTYPEDESC","COYDESC","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"80","TEHO INTERNATIONAL INC LTD.","200811433K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,18276097,5437063,12839034,76575,76575,0,18199522,0,15480668,0,2718854,71,99.58,0.42
"81","TIONG WOON CORPORATION HOLDING LTD","199705837C","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,82264728,66073,82198655,171940,171940,0,82092788,0,77302534,0,4790254,0.38,99.79,0.21
"82","TMC EDUCATION CORPORATION LTD.","198102945K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,19150016,4063298,15086718,5362017,5254993,107024,13787999,0,11477119,502693,1808187,0.77,72,28
"83","OLS ENTERPRISE LTD.","196800320E","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,168873000,5173000,163700000,1008000,1008000,0,167865000,0,450605000,9264000,-292004000,5.13,99.4,0.6
"84","UNITED INTERNATIONAL SECURITIES LTD","196900634H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,348679000,12778000,335901000,5797000,3039000,2758000,342882000,0,196592000,34534000,111756000,4.2,98.34,1.66
"85","VIZ BRANZ PTE. LTD.","199401631K","Consolidated","LIMITED PRIVATE COMPANY",2010,71611000,36755000,34856000,13352000,13348000,4000,58259000,0,34179000,398000,24375000,2.75,81.35,18.65
"86","3CNERGY LIMITED","197300314D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,5920000,2820000,3100000,1027000,856000,171000,4893000,0,12463000,2882000,-10452000,3.29,82.65,17.35
"87","ISR CAPITAL LIMITED","200104762G","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,16259396,3502992,12756404,421585,387398,34187,15837811,0,16041353,0,-203542,9.04,97.41,2.59
"88","WE HOLDINGS LTD.","198600445D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,29086000,16802000,12284000,17795000,8820000,8975000,11291000,0,37871000,0,-26580000,1.9,38.82,61.18
"89","E2-CAPITAL HOLDINGS LIMITED","200814792H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,258315000,63090000,195225000,58000,58000,0,258257000,1,231885000,4771000,21601000,1087.76,99.98,0.02
