"","ID","degree"
"933",2393,3469
"934",2395,3469
"935",2396,3469
"936",2397,3469
"937",2398,3469
"938",2399,3469
"939",2400,3469
"940",2401,3469
"941",2403,3469
"942",2404,3469
"943",2405,3469
"944",2406,3469
"945",2409,3469
"946",2410,3469
"947",2412,3469
"948",2413,3469
"949",2414,3469
"950",2416,3469
"951",2417,3469
"952",2420,3469
"953",2421,3469
"954",2422,3469
"955",2423,3469
"956",2425,3469
"957",2426,3469
"958",2428,3469
"959",2429,3469
"960",2430,3469
"961",2431,3469
"962",2432,3469
"963",2433,3469
"964",2434,3469
"965",2435,3469
"966",2436,3469
"967",2437,3469
"968",2438,3469
"969",2439,3469
"970",2440,3469
"971",2441,3469
"972",2442,3469
"973",2443,3469
"974",2444,3469
"975",2445,3469
"976",2446,3469
"977",2447,3469
"978",2448,3469
"979",2449,3469
"980",2450,3469
"981",2451,3469
"982",2452,3469
"983",2453,3469
"984",2456,3469
"985",2458,3469
"986",2460,3469
"987",2463,3469
"988",2465,3469
"989",2466,3469
"990",2469,3469
"991",2474,3469
"992",2477,3469
"993",2479,3469
"994",2480,3469
"995",2489,3469
"996",2490,3469
"997",2491,3469
"998",2492,3469
"999",2494,3469
"1000",2495,3469
"1001",2497,3469
"1002",2499,3469
"1003",2500,3469
"1004",2501,3469
"1005",2505,3469
"1006",2507,3469
"1007",2510,3469
"1008",2512,3469
"1009",2514,3469
"1010",2515,3469
"1011",2516,3469
"1012",2518,3469
"1013",2519,3469
"1014",2520,3469
"1015",2522,3469
"1016",2523,3469
"1017",2524,3469
"1018",2525,3469
"1019",2526,3469
"1020",2528,3469
"1021",2529,3469
"1022",2530,3469
"1023",2531,3469
"1024",2532,3469
"1025",2533,3469
"1026",2535,3469
"1027",2539,3469
"1028",2541,3469
"1029",2542,3469
"1030",2543,3469
"1031",2544,3469
"1032",2545,3469
"1033",2546,3469
"1034",2549,3469
"1035",2550,3469
"1036",2551,3469
"1037",2552,3469
"1038",2553,3469
"1039",2554,3469
"1040",2556,3469
"1041",2557,3469
"1042",2559,3469
"1043",2561,3469
"1044",2562,3469
"1045",2563,3469
"1046",2564,3469
"1047",2566,3469
"1048",2567,3469
"1049",2569,3469
"1050",2570,3469
"1051",2574,3469
"1052",2575,3469
"1053",2576,3469
"1054",2577,3469
"1055",2579,3469
"1056",2580,3469
"1057",2581,3469
"1058",2582,3469
"1059",2583,3469
"1060",2584,3469
"1061",2585,3469
"1062",2586,3469
"1063",2588,3469
"1064",2589,3469
"1065",2590,3469
"1066",2595,3469
"1067",2596,3469
"1068",2597,3469
"1069",2598,3469
"1070",2599,3469
"1071",2601,3469
"1072",2603,3469
"1073",2604,3469
"1074",2605,3469
"1075",2606,3469
"1076",2607,3469
"1077",2610,3469
"1078",2611,3469
"1079",2612,3469
"1080",2613,3469
"1081",2614,3469
"1082",2615,3469
"1083",2617,3469
"1084",2618,3469
"1085",2619,3469
"1086",2620,3469
"1087",2621,3469
"1088",2622,3469
"1089",2623,3469
"1090",2624,3469
"1091",2625,3469
"1092",2626,3469
"1093",2627,3469
"1094",2628,3469
"1095",2630,3469
"1096",2631,3469
"1097",2633,3469
"1098",2637,3469
"1099",2638,3469
"1100",2639,3469
"1101",2641,3469
"1102",2642,3469
"1103",2643,3469
"1104",2644,3469
"1105",2645,3469
"1106",2647,3469
"1107",2649,3469
"1108",2651,3469
"1109",2652,3469
"1110",2653,3469
"1111",2655,3469
"1112",2656,3469
"1113",2657,3469
"1114",2658,3469
"1115",2660,3469
"1116",2662,3469
"1117",2663,3469
"1118",2665,3469
"1119",2666,3469
"1120",2667,3469
"1121",2669,3469
"1122",2670,3469
"1123",2671,3469
"1124",2672,3469
"1125",2673,3469
"1126",2674,3469
"1127",2675,3469
"1128",2676,3469
"1129",2677,3469
"1130",2678,3469
"1131",2681,3469
"1132",2682,3469
"1133",2683,3469
"1134",2684,3469
"1135",2685,3469
"1136",2686,3469
"1137",2687,3469
"1138",2688,3469
"1139",2689,3469
"1140",2690,3469
"1141",2691,3469
"1142",2692,3469
"1143",2693,3469
"1144",2695,3469
"1145",2696,3469
"1146",2697,3469
"1147",2698,3469
"1148",2699,3469
"1149",2700,3469
"1150",2701,3469
"1151",2702,3469
"1152",2703,3469
"1153",2704,3469
"1154",2705,3469
"1155",2706,3469
"1156",2707,3469
"1157",2708,3469
"1158",2709,3469
"1159",2710,3469
"1160",2711,3469
"1161",2712,3469
"1162",2713,3469
"1163",2714,3469
"1164",2715,3469
"1165",2716,3469
"1166",2717,3469
"1167",2718,3469
"1168",2719,3469
"1169",2720,3469
"1170",2721,3469
"1171",2722,3469
"1172",2723,3469
"1173",2724,3469
"1174",2725,3469
"1175",2727,3469
"1176",2728,3469
"1177",2729,3469
"1178",2731,3469
"1179",2732,3469
"1180",2733,3469
"1181",2734,3469
"1182",2735,3469
"1183",2736,3469
"1184",2737,3469
"1185",2738,3469
"1186",2740,3469
"1187",2741,3469
"1188",2742,3469
"1189",2743,3469
"1190",2744,3469
"1191",2745,3469
"1192",2746,3469
"1193",2747,3469
"1194",2748,3469
"1195",2750,3469
"1196",2752,3469
"1197",2753,3469
"1198",2754,3469
"1199",2755,3469
"1200",2756,3469
"1201",2757,3469
"1202",2758,3469
"1203",2759,3469
"1204",2761,3469
"1205",2763,3469
"1206",2765,3469
"1207",2766,3469
"1208",2768,3469
"1209",2769,3469
"1210",2770,3469
"1211",2774,3469
"1212",2775,3469
"1213",2776,3469
"1214",2777,3469
"1215",2778,3469
"1216",2779,3469
"1217",2783,3469
"1218",2784,3469
"1219",2786,3469
"1220",2787,3469
"1221",2788,3469
"1222",2789,3469
"1223",2790,3469
"1224",2791,3469
"1225",2792,3469
"1226",2793,3469
"1227",2794,3469
"1228",2796,3469
"1229",2797,3469
"1230",2798,3469
"1231",2800,3469
"1232",2801,3469
"1233",2803,3469
"1234",2804,3469
"1235",2805,3469
"1236",2806,3469
"1237",2807,3469
"1238",2808,3469
"1239",2809,3469
"1240",2810,3469
"1241",2813,3469
"1242",2814,3469
"1243",2815,3469
"1244",2818,3469
"1245",2819,3469
"1246",2820,3469
"1247",2821,3469
"1248",2822,3469
"1249",2823,3469
"1250",2824,3469
"1251",2826,3469
"1252",2827,3469
"1253",2828,3469
"1254",2829,3469
"1255",2832,3469
"1256",2833,3469
"1257",2834,3469
"1258",2836,3469
"1259",2838,3469
"1260",2839,3469
"1261",2840,3469
"1262",2841,3469
"1263",2843,3469
"1264",2844,3469
"1265",2845,3469
"1266",2846,3469
"1267",2847,3469
"1268",2848,3469
"1269",2852,3469
"1270",2853,3469
"1271",2855,3469
"1272",2857,3469
"1273",2858,3469
"1274",2859,3469
"1275",2860,3469
"1276",2862,3469
"1277",2863,3469
"1278",2865,3469
"1279",2866,3469
"1280",2867,3469
"1281",2872,3469
"1282",2874,3469
"1283",2875,3469
"1284",2877,3469
"1285",2878,3469
"1286",2879,3469
"1287",2883,3469
"1288",2884,3469
"1289",2887,3469
"1290",2888,3469
"1291",2891,3469
"1292",2892,3469
"1293",2893,3469
"1294",2894,3469
"1295",2895,3469
"1296",2897,3469
"1297",2898,3469
"1298",2899,3469
"1299",2901,3469
"1300",2903,3469
"1301",2904,3469
"1302",2906,3469
"1303",2907,3469
"1304",2909,3469
"1305",2911,3469
"1306",2912,3469
"1307",2916,3469
"1308",2917,3469
"1309",2918,3469
"1310",2919,3469
"1311",2920,3469
"1312",2921,3469
"1313",2923,3469
"1314",2924,3469
"1315",2925,3469
"1316",2926,3469
"1317",2927,3469
"1318",2928,3469
"1319",2929,3469
"1320",2930,3469
"1321",2931,3469
"1322",2933,3469
"1323",2934,3469
"1324",2936,3469
"1325",2937,3469
"1326",2939,3469
"1327",2940,3469
"1328",2945,3469
"1329",2946,3469
"1330",2947,3469
"1331",2948,3469
"1332",2949,3469
"1333",2951,3469
"1334",2952,3469
"1335",2953,3469
"1336",2954,3469
"1337",2955,3469
"1338",2956,3469
"1339",2957,3469
"1340",2958,3469
"1341",2961,3469
"1342",2962,3469
"1343",2963,3469
"1344",2964,3469
"1345",2965,3469
"1346",2966,3469
"1347",2967,3469
"1348",2968,3469
"1349",2969,3469
"1350",2970,3469
"1351",2971,3469
"1352",2973,3469
"1353",2974,3469
"1354",2975,3469
"1355",2976,3469
"1356",2978,3469
"1357",2979,3469
"1358",2980,3469
"1359",2981,3469
"1360",2982,3469
"1361",2983,3469
"1362",2984,3469
"1363",2987,3469
"1364",2988,3469
"1365",2990,3469
"1366",2992,3469
"1367",3015,3469
"1368",3016,3469
"1369",3017,3469
"1370",3018,3469
"1371",3019,3469
"1372",3020,3469
"1373",3022,3469
"1374",3023,3469
"1375",3024,3469
"1376",3025,3469
"1377",3026,3469
"1378",3027,3469
"1379",3028,3469
"1380",3029,3469
"1381",3031,3469
"1382",3032,3469
"1383",3033,3469
"1384",3034,3469
"1385",3035,3469
"1386",3038,3469
"1387",3039,3469
"1388",3040,3469
"1389",3042,3469
"1390",3043,3469
"1391",3044,3469
"1392",3045,3469
"1393",3047,3469
"1394",3049,3469
"1395",3052,3469
"1396",3054,3469
"1397",3055,3469
"1398",3056,3469
"1399",3058,3469
"1400",3059,3469
"1401",3060,3469
"1402",3061,3469
"1403",3063,3469
"1404",3064,3469
"1405",3067,3469
"1406",3068,3469
"1407",3070,3469
"1408",3071,3469
"1409",3072,3469
"1410",3073,3469
"1411",3074,3469
"1412",3076,3469
"1413",3077,3469
"1414",3079,3469
"1415",3080,3469
"1416",3081,3469
"1417",3082,3469
"1418",3083,3469
"1419",3085,3469
"1420",3087,3469
"1421",3088,3469
"1422",3089,3469
"1423",3090,3469
"1424",3091,3469
"1425",3095,3469
"1426",3098,3469
"1427",3099,3469
"1428",3100,3469
"1429",3102,3469
"1430",3103,3469
"1431",3105,3469
"1432",3106,3469
"1433",3108,3469
"1434",3109,3469
"1435",3110,3469
"1436",3111,3469
"1437",3114,3469
"1438",3115,3469
"1439",3121,3469
"1440",3123,3469
"1441",3124,3469
"1442",3127,3469
"1443",3129,3469
"1444",3131,3469
"1445",3135,3469
"1446",3136,3469
"1447",3137,3469
"1448",3138,3469
"1449",3140,3469
"1450",3141,3469
"1451",3142,3469
"1452",3143,3469
"1453",3144,3469
"1454",3145,3469
"1455",3146,3469
"1456",3147,3469
"1457",3148,3469
"1458",3149,3469
"1459",3160,3469
"1460",3161,3469
"1461",3162,3469
"1462",3163,3469
"1463",3167,3469
"1464",3168,3469
"1465",3170,3469
"1466",3171,3469
"1467",3172,3469
"1468",3173,3469
"1469",3174,3469
"1470",3175,3469
"1471",3176,3469
"1472",3177,3469
"1473",3178,3469
"1474",3179,3469
"1475",3180,3469
"1476",3181,3469
"1477",3182,3469
"1478",3183,3469
"1479",3185,3469
"1480",3186,3469
"1481",3187,3469
"1482",3188,3469
"1483",3189,3469
"1484",3190,3469
"1485",3191,3469
"1486",3193,3469
"1487",3194,3469
"1488",3195,3469
"1489",3197,3469
"1490",3198,3469
"1491",3200,3469
"1492",3202,3469
"1493",3203,3469
"1494",3204,3469
"1495",3206,3469
"1496",3207,3469
"1497",3208,3469
"1498",3209,3469
"1499",3210,3469
"1500",3211,3469
"1501",3212,3469
"1502",3213,3469
"1503",3214,3469
"1504",3215,3469
"1505",3216,3469
"1506",3218,3469
"1507",3222,3469
"1508",3225,3469
"1509",3227,3469
"1510",3228,3469
"1511",3229,3469
"1512",3230,3469
"1513",3231,3469
"1514",3232,3469
"1515",3234,3469
